bray,Theo1,Theo2,Theo3,ave,Description,Kit,Lysis
PL4R3,0.118546366,0.130576441,0.12406015,0.124394319,PL4R,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4W1,0.118295739,0.129072682,0.128320802,0.125229741,PL4W,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4W2,0.129072682,0.144862155,0.146365915,0.140100251,PL4W,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PL4W3,0.147368421,0.165413534,0.155388471,0.156056809,PL4W,Total_ProteinaseK,Chemical + Bead beat: 1hr + 10s x 4m/s
PLVR1,0.180701754,0.189473684,0.175438596,0.181871345,PLVR,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVR2,0.210275689,0.228571429,0.21679198,0.218546366,PLVR,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVR3,0.182205514,0.198746867,0.186967419,0.1893066,PLVR,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVW1,0.2,0.213283208,0.19924812,0.204177109,PLVW,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVW2,0.235839599,0.249122807,0.235087719,0.240016708,PLVW,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PLVW3,0.180200501,0.193483709,0.179448622,0.184377611,PLVW,Total_ProteinaseK,Chemical + Vortex: 1hr + 30s 
PVR1,0.188721805,0.195238095,0.202005013,0.195321637,PVR,Total_ProteinaseK,Vortex: 30s
PVR2,0.170175439,0.176691729,0.183458647,0.176775272,PVR,Total_ProteinaseK,Vortex: 30s
PVR3,0.139097744,0.154887218,0.156390977,0.150125313,PVR,Total_ProteinaseK,Vortex: 30s
PVW1,0.160150376,0.17593985,0.177443609,0.171177945,PVW,Total_ProteinaseK,Vortex: 30s
PVW2,0.103508772,0.12406015,0.108270677,0.111946533,PVW,Total_ProteinaseK,Vortex: 30s
PVW3,0.115288221,0.127568922,0.121052632,0.121303258,PVW,Total_ProteinaseK,Vortex: 30s
