,Theo1.1,Theo1.2,Theo1.3,Factor,For_AVE,Factor
MC.1ml.UHT.3,0.396741855,0.403258145,0.410025063,Volume,1ml,Volume
MC.25.glycerol.1,0.29924812,0.305764411,0.312531328,Storage,Glycerol,Storage
MC.25.glycerol.2,0.276441103,0.282957393,0.289724311,Storage,Glycerol,Storage
MC.25.glycerol.3,0.306516291,0.313032581,0.319799499,Storage,Glycerol,Storage
MC.30ml.UHT.1,0.286466165,0.292982456,0.299749373,Volume,30ml,Volume
MC.30ml.UHT.2,0.350125313,0.356641604,0.363408521,Volume,30ml,Volume
MC.30ml.UHT.3,0.369172932,0.375689223,0.38245614,Volume,30ml,Volume
MC.50.1,0.453884712,0.455889724,0.459899749,PMA,Half,PMA
MC.50.2,0.651378446,0.651378446,0.651378446,PMA,Half,PMA
MC.50.3,0.671929825,0.664661654,0.673934837,PMA,Half,PMA
MC.50.control.1,0.254135338,0.256641604,0.25839599,PMA,Untreated,PMA
MC.dead.1,0.719799499,0.719799499,0.719799499,PMA,Dead,PMA
MC.dead.2,0.817042607,0.817042607,0.817042607,PMA,Dead,PMA
MC.dead.3,0.842857143,0.842857143,0.842857143,PMA,Dead,PMA
MC.dead.control.1,0.273433584,0.27593985,0.280701754,PMA,Untreated,PMA
MC.live.1,0.520551378,0.515037594,0.522556391,PMA,Live,PMA
Mc.live.2,0.587969925,0.580701754,0.589974937,PMA,Live,PMA
MC.live.3,0.671428571,0.664160401,0.673433584,PMA,Live,PMA
MC.live.control.1,0.270676692,0.273182957,0.274937343,PMA,Untreated,PMA
MC.PBS.1,0.27593985,0.28245614,0.289223058,Storage,PBS2,Storage
MC.PBS.2,0.298245614,0.304761905,0.311528822,Storage,PBS2,Storage
MC.PBS.3,0.270927318,0.277443609,0.284210526,Storage,PBS2,Storage
ML4R1,0.201754386,0.208270677,0.215037594,Extraction,Total_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction
ML4R2,0.197994987,0.197994987,0.205513784,Extraction,Total_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction
ML4R3,0.181954887,0.19122807,0.193483709,Extraction,Total_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction
ML4W1,0.215538847,0.231328321,0.23283208,Extraction,Total_Chemical_Bead_beating_,Extraction
ML4W2,0.185964912,0.201754386,0.203258145,Extraction,Total_Chemical_Bead_beating_,Extraction
ML4W3,0.191478697,0.20726817,0.20877193,Extraction,Total_Chemical_Bead_beating_,Extraction
MLVR1,0.292481203,0.29924812,0.285964912,Extraction,Total_Chemical_Vortex_Rnase_ammonium_acetate,Extraction
MLVR2,0.30726817,0.32556391,0.313784461,Extraction,Total_Chemical_Vortex_Rnase_ammonium_acetate,Extraction
MLVR3,0.302506266,0.320802005,0.309022556,Extraction,Total_Chemical_Vortex_Rnase_ammonium_acetate,Extraction
MLVW1,0.31679198,0.335087719,0.323308271,Extraction,Total_Chemical_Vortex_,Extraction
MLVW2,0.337844612,0.356140351,0.344360902,Extraction,Total_Chemical_Vortex_,Extraction
MLVW3,0.311278195,0.329573935,0.317794486,Extraction,Total_Chemical_Vortex_,Extraction
MVR1,0.218045113,0.220802005,0.218295739,Extraction,Total_Vortex_Rnase_ammonium_acetate,Extraction
MVR2,0.163408521,0.167919799,0.166165414,Extraction,Total_Vortex_Rnase_ammonium_acetate,Extraction
MVR3,0.2,0.218295739,0.206516291,Extraction,Total_Vortex_Rnase_ammonium_acetate,Extraction
MVW1,0.294736842,0.313032581,0.301253133,Extraction,Total_Vortex_,Extraction
MVW2,0.161403509,0.17518797,0.170927318,Extraction,Total_Vortex_,Extraction
MVW3,0.219548872,0.237844612,0.226065163,Extraction,Total_Vortex_,Extraction
P4R1,0.165413534,0.17443609,0.175438596,Extraction,Microbiome_Bead_beating_Rnase_ammonium_acetate,Extraction
P4R2,0.193984962,0.200501253,0.20726817,Extraction,Microbiome_Bead_beating_Rnase_ammonium_acetate,Extraction
P4R3,0.213533835,0.219548872,0.220551378,Extraction,Microbiome_Bead_beating_Rnase_ammonium_acetate,Extraction
P4W1,0.123558897,0.139348371,0.14085213,Extraction,Microbiome_Bead_beating_,Extraction
P4W2,0.120300752,0.136090226,0.137593985,Extraction,Microbiome_Bead_beating_,Extraction
P4W3,0.114035088,0.126817043,0.12406015,Extraction,Microbiome_Bead_beating_,Extraction
PL4R1,0.10877193,0.119548872,0.120802005,Extraction,Microbiome_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction
PL4R2,0.180451128,0.182957393,0.187218045,Extraction,Microbiome_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction
PL4R3,0.118546366,0.130576441,0.12406015,Extraction,Microbiome_Chemical_Bead_beating_Rnase_ammonium_acetate,Extraction
PL4W1,0.118295739,0.129072682,0.128320802,Extraction,Microbiome_Chemical_Bead_beating_,Extraction
PL4W2,0.129072682,0.144862155,0.146365915,Extraction,Microbiome_Chemical_Bead_beating_,Extraction
PL4W3,0.147368421,0.165413534,0.155388471,Extraction,Microbiome_Chemical_Bead_beating_,Extraction
PLVR1,0.180701754,0.189473684,0.175438596,Extraction,Microbiome_Chemical_Vortex_Rnase_ammonium_acetate,Extraction
PLVR2,0.210275689,0.228571429,0.21679198,Extraction,Microbiome_Chemical_Vortex_Rnase_ammonium_acetate,Extraction
PLVR3,0.182205514,0.198746867,0.186967419,Extraction,Microbiome_Chemical_Vortex_Rnase_ammonium_acetate,Extraction
PLVW1,0.2,0.213283208,0.19924812,Extraction,Microbiome_Chemical_Vortex_,Extraction
PLVW2,0.235839599,0.249122807,0.235087719,Extraction,Microbiome_Chemical_Vortex_,Extraction
PLVW3,0.180200501,0.193483709,0.179448622,Extraction,Microbiome_Chemical_Vortex_,Extraction
PVR1,0.188721805,0.195238095,0.202005013,Extraction,Microbiome_Vortex_Rnase_ammonium_acetate,Extraction
PVR2,0.170175439,0.176691729,0.183458647,Extraction,Microbiome_Vortex_Rnase_ammonium_acetate,Extraction
PVR3,0.139097744,0.154887218,0.156390977,Extraction,Microbiome_Vortex_Rnase_ammonium_acetate,Extraction
PVW1,0.160150376,0.17593985,0.177443609,Extraction,Microbiome_Vortex_,Extraction
PVW2,0.103508772,0.12406015,0.108270677,Extraction,Microbiome_Vortex_,Extraction
PVW3,0.115288221,0.127568922,0.121052632,Extraction,Microbiome_Vortex_,Extraction
