OTUID	1.1	1.2	1.3	2.1	2.2	2.3	3.1	3.2	3.3	4.2	4.3	5.1	5.2	5.3	6.1	6.2	6.3	7.1	7.2	7.3	8.1	8.2	8.3	Blank.30ml.UHT.1	Blank.500ul.glycerol.1	Blank.500ul.PBS.1	MC.10ml.UHT.1	MC.10ml.UHT.2	MC.10ml.UHT.3	MC.1ml.UHT.1	MC.1ml.UHT.2	MC.1ml.UHT.3	MC.25.glycerol.1	MC.25.glycerol.2	MC.25.glycerol.3	MC.30ml.UHT.1	MC.30ml.UHT.2	MC.30ml.UHT.3	MC.50.1	MC.50.2	MC.50.3	MC.50.control.1	MC.dead.1	MC.dead.2	MC.dead.3	MC.dead.control.1	MC.live.1	Mc.live.2	MC.live.3	MC.live.control.1	MC.PBS.1	MC.PBS.2	MC.PBS.3	milliQ.1	milliQ.2	SEQ2	SEQ3	IONMB1	IONMB10	IONMB11	IONMB12	IONMB2	IONMB3	IONMB4	IONMB5	IONMB6	IONMB7	IONMB8	IONMB9	IONMM1	IONMM10	IONMM11	IONMM12	IONMM2	IONMM3	IONMM4	IONMM5	IONMM6	IONMM7	IONMM8	IONMM9	IONPCR1	IONPCR2	IONPCR3	IONSEQ1	IONSEQ2	IONSEQ3	Theo1.1	Theo1.2	Theo1.3	Theo2.1	Theo2.2	Theo2.3	10CB.1	10CB.2	10CB.3	10CB.NC	10CC.1	10CC.2	10CC.3	10CC.NC	10CV.1	10CV.2	10CV.3	10CV.NC	10TB.1	10TB.2	10TB.3	10TB.NC	10TC.1	10TC.2	10TC.3	10TC.NC	10TV.1	10TV.2	10TV.3	10TV.NC	10UB.1	10UB.2	10UB.3	10UB.NC	10UC.1	10UC.2	10UC.3	10UC.NC	10UV.1	10UV.2	10UV.3	10UV.NC	1CC.1	1CC.2	1CC.4	1CC.5	1CC.NC	1UC.1	1UC.2	1UC.3	1UC.4	1UC.5	200CB.1	200CB.2	200CB.3	200CC.1	200CC.2	200CC.3	200CV.1	200CV.2	200CV.3	200TB.1	200TB.2	200TB.3	200TC.1	200TC.2	200TC.3	200TV.1	200TV.2	200TV.3	200UB.1	200UB.2	200UB.3	200UC.1	200UC.2	200UC.3	200UV.1	200UV.2	200UV.3	SEQ1	M4R1	M4R2	M4R3	M4W1	M4W2	M4W3	ML4R1	ML4R2	ML4R3	ML4W1	ML4W2	ML4W3	MLVR1	MLVR2	MLVR3	MLVW1	MLVW2	MLVW3	MVR1	MVR2	MVR3	MVW1	MVW2	MVW3	NC1	NC2	NC3	P4R1	P4R2	P4R3	P4W1	P4W2	P4W3	PL4R1	PL4R2	PL4R3	PL4W1	PL4W2	PL4W3	PLVR1	PLVR2	PLVR3	PLVW1	PLVW2	PLVW3	PVR1	PVR2	PVR3	PVW1	PVW2	PVW3
ef53c96349a804410165ad1870cfc6b2	51	44	29	576	521	508	2042	1680	1011	1166	1273	379	1397	2037	1269	1617	4355	1381	478	673	5887	2951	2450	34	137	51	180	409	602	178	118	216	1214	1269	1935	183	153	69	281	199	437	2088	134	538	272	462	268	266	352	911	1311	1269	920	0	62	5134	7946	11030	7635	9273	5849	7925	9891	4079	5265	3637	2146	2629	2119	6314	4421	6484	8119	6132	4342	2006	2294	2671	1923	1299	955	6010	1655	2503	6884	4333	7671	0	0	0	0	0	0	203	102	99	0	93	91	71	56	129	143	109	0	193	242	264	0	588	993	706	0	482	489	722	0	0	257	299	0	559	424	460	28	236	202	118	33	270	585	314	554	0	571	463	328	256	529	343	184	435	90	129	209	499	332	497	426	262	335	372	775	869	436	385	370	55	24	160	469	350	309	297	537	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b53806d2798866e54bc88919793f0143	18	0	31	411	373	469	2068	1282	945	913	955	308	1092	1769	1363	1462	1450	1135	355	416	3243	1962	1513	582	710	393	424	1160	1421	595	554	684	1233	1472	2429	625	408	178	1159	187	1929	1335	154	2241	129	259	985	1234	1199	917	1176	1213	891	0	0	5600	5948	2287	1490	2270	1235	1755	2365	1966	3133	2045	1872	2381	2026	1991	1216	1622	2545	1397	999	1190	1690	1797	1939	1464	881	4629	1354	2260	8873	3737	4100	0	0	0	0	0	0	1235	859	502	33	546	457	468	328	873	1043	871	69	557	427	477	31	3290	5953	3302	125	1164	1741	1841	69	0	556	862	35	2970	1408	2202	337	580	461	336	80	183	725	249	515	59	325	255	161	186	415	1068	349	825	213	271	200	1352	633	1441	486	394	498	788	689	1918	878	621	524	103	16	199	1039	669	910	439	407	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc44915a0352691cc51940bd90fc8321	17	0	0	469	477	721	2026	1510	1162	1876	1675	344	1280	2457	1082	2377	1627	527	338	439	490	337	292	0	24	0	46	38	52	14	0	20	166	140	230	39	17	16	16	0	24	401	69	102	41	137	18	0	41	222	105	74	71	0	0	7724	7396	3188	2752	2747	1569	2864	3094	1867	2066	2704	3639	4626	4137	1395	1366	2610	3052	1759	1004	956	1220	1689	3253	1935	1138	3959	1313	1795	9079	6052	6035	0	0	0	0	0	0	96	53	26	0	35	33	30	0	114	90	50	0	41	52	41	0	32	43	21	0	62	109	97	0	0	29	44	0	40	21	29	0	52	41	42	0	57	95	41	35	0	262	146	110	122	212	79	59	102	0	50	21	27	55	22	63	0	44	0	19	55	0	11	22	61	25	100	29	42	18	41	86	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9a51009b55aca2f468f71e938eccd22e	23	55	0	0	12	10	42	16	11	27	28	0	32	19	38	31	45	33	0	0	11	0	16	154	456	161	21	29	32	47	34	43	23	19	33	13	11	9	254	189	614	76	524	6802	809	21	175	448	3445	53	25	20	9	598	8466	29	15	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	49	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6cb0143a268b5658a4543559630d53f	0	64	36	0	7	9	20	0	10	13	9	0	0	21	7	11	20	17	3	0	14	15	12	2171	3876	2302	172	168	255	874	735	952	10	0	14	42	24	21	126	90	269	48	203	2520	199	88	149	206	239	37	0	0	0	3	168	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	92	83	0	0	0	0	0	261	0	76	0	0	0	149	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19bfaf559b3233830b1b54792a67e83a	1803	771	1094	5	0	9	23	23	13	17	9	5	13	27	12	21	37	25	7	10	96	87	73	5796	0	0	245	377	407	328	193	282	12	9	20	63	67	60	0	0	0	22	44	30	0	0	0	0	0	10	0	11	6	0	0	7	26	0	0	0	0	0	0	0	0	0	24	66	32	0	0	0	0	0	0	0	0	0	144	96	68	0	0	0	0	0	0	0	0	0	0	0	0	26	31	17	120	301	531	335	1216	31	30	11	222	19	22	20	106	346	215	192	241	33	39	28	98	0	0	20	45	96	15	46	664	38	32	29	54	68	185	84	248	499	20	21	29	28	46	57	29	0	156	377	299	81	40	115	14	35	20	50	22	96	0	0	39	0	0	23	77	55	49	30	96	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
874d4ec679f1fc85f013adf6d37d89b3	0	29	30	0	0	0	5	0	0	0	5	0	4	7	0	7	19	4	0	0	34	9	16	108	60	68	12	30	43	37	8	31	7	5	9	2	0	0	268	247	492	84	536	3701	623	13	273	390	243	37	0	0	0	83	128	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	36	0	32	14	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffcdd935bd6eb52317fb4a3879d07a56	192	118	41	0	0	0	0	0	0	0	0	0	7	5	0	0	0	10	0	0	0	0	0	75	65	79	0	20	19	38	33	9	6	0	0	0	0	0	116	43	64	41	931	3674	1204	8	0	145	129	41	0	0	0	114	44	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7530628dcae7bd8e82b657d00a46cf31	18	24	3	0	0	0	0	0	2	2	0	0	5	0	3	0	6	7	0	0	9	0	0	114	298	19	0	12	0	16	21	0	0	0	8	0	0	0	32	63	205	38	111	3248	362	10	1639	327	123	30	0	0	0	0	372	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	18	0	0	0	16	0	0	0	0	0	0	40	0	0	0	0	0	77	0	0	0	16	0	0	0	3	0	0	0	0	105	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
463c90535e77331640c6e3bcc51dd305	1535	1075	1530	0	0	0	0	0	0	10	13	0	5	0	12	27	38	23	0	0	101	90	83	25	63	0	0	0	0	0	0	0	0	9	0	0	0	0	81	44	80	0	64	1012	188	7	136	176	35	9	0	0	0	0	4	0	0	7	0	0	0	0	4	0	0	3	0	0	0	0	0	26	21	18	0	55	47	23	28	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	22	6	57	0	33	99	49	41	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
