FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
8b92b40f2a6886e84557f76f5c517a86	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
8bc3949ba27ac682e053bf43343f103d	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus
8d08246735ef12f98548e9fe5fc88773	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
8d244be5476d9355bb8ac7410242e5a6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges
8d30348965075fc7795ed774636df47d	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	
8e1776fd569e5ca39e36f3558c687569	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas
8efb642214b33f9a69b40f2dd31fb4c4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	
8f30bde4b8e3d4db88669acb8d39a1fe	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
8f53469bceac97548d55b7ece2babf3d	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	
8fe6840d2daa706f6bc59f22096e0d03	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Salinibacterium
8fedf4e3f7ba68fcaefb1618e2cc84fd	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
9003214fece3fe0effb94ddc7d897b7a	Bacteria					
90585f13cade4345b7043341c41725ba	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
911abdaec5d1f68b4f385e48a9671683	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
913239fd20934ddd28a73e9532b06158	Bacteria	Chloroflexi	Ellin6529			
916dbe9bdd557b994f1f0840dbb8c4e7	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Couchioplanes
91f309287bb3e7621cabe2c00cedb163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
