"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"ae0ae98c0a83e6a3ed3c31700a99ace6",47.5546241020985,-5.35655034351158,1.48247584486037,-3.21866144351232,0.0012879044782658,0.0167427582174554,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas"
"bc44915a0352691cc51940bd90fc8321",150.70116103264,3.5000149958908,0.539273614073876,5.40551664144706,6.46218502961902e-08,2.52025216155142e-06,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"91f309287bb3e7621cabe2c00cedb163",12.2968700030207,-13.438863443245,2.80784037750308,-4.57786028205579,4.69756268304029e-06,9.16024723192857e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","Lachnospiraceae"
