"","10CB.1","10CB.2","10CB.3","10CC.1","10CC.2","10CC.3","10CV.1","10CV.2","10CV.3","Theo2.1","Theo2.2","Theo2.3","10TB.1","10TB.2","10TB.3","10TC.1","10TC.2","10TC.3","10TV.1","10TV.2","10TV.3","10UB.2","10UB.3","10UC.1","10UC.2","10UC.3","10UV.1","10UV.2","10UV.3"
"10CB.1",0,0.0370927318295739,0.0443609022556391,0.617293233082707,0.609273182957394,0.515789473684211,0.0576441102756892,0.0518796992481203,0.049874686716792,0.402756892230576,0.409273182957394,0.411528822055138,0.0952380952380952,0.106265664160401,0.107017543859649,0.537844611528822,0.543859649122807,0.573684210526316,0.0726817042606516,0.0972431077694236,0.103508771929825,0.316040100250627,0.326065162907268,0.299248120300752,0.362907268170426,0.357894736842105,0.317794486215539,0.333333333333333,0.343609022556391
"10CB.2",0.0370927318295739,0,0.0413533834586466,0.629573934837093,0.620300751879699,0.5265664160401,0.0270676691729323,0.0380952380952381,0.0476190476190476,0.419047619047619,0.425563909774436,0.42781954887218,0.105764411027569,0.119298245614035,0.128571428571429,0.559147869674186,0.564661654135338,0.595488721804511,0.0759398496240602,0.127067669172932,0.135087719298246,0.317293233082707,0.327318295739348,0.3,0.362907268170426,0.359899749373434,0.319298245614035,0.335338345864662,0.342355889724311
"10CB.3",0.0443609022556391,0.0413533834586466,0,0.600501253132832,0.592481203007519,0.499248120300752,0.0586466165413534,0.0553884711779449,0.0395989974937343,0.388721804511278,0.395238095238095,0.39749373433584,0.118796992481203,0.121553884711779,0.11453634085213,0.529323308270677,0.536340852130326,0.571929824561404,0.087218045112782,0.107518796992481,0.11328320802005,0.336340852130326,0.347869674185464,0.279197994987469,0.344611528822055,0.335839598997494,0.33609022556391,0.363408521303258,0.369423558897243
"10CC.1",0.617293233082707,0.629573934837093,0.600501253132832,0,0.127568922305764,0.162155388471178,0.647117794486216,0.631328320802005,0.595989974937343,0.469924812030075,0.460902255639098,0.457644110275689,0.599749373433584,0.583458646616541,0.579699248120301,0.326817042606516,0.415538847117794,0.369924812030075,0.612531328320802,0.601002506265664,0.594736842105263,0.721804511278195,0.731829573934837,0.500250626566416,0.567919799498747,0.49749373433584,0.724561403508772,0.741604010025063,0.754636591478697
"10CC.2",0.609273182957394,0.620300751879699,0.592481203007519,0.127568922305764,0,0.138847117794486,0.629323308270677,0.623308270676692,0.588220551378446,0.461904761904762,0.452882205513784,0.449624060150376,0.590977443609023,0.574937343358396,0.572431077694236,0.405263157894737,0.451629072681704,0.417794486215539,0.603759398496241,0.591478696741855,0.586215538847118,0.72280701754386,0.732330827067669,0.486967418546366,0.560651629072682,0.486967418546366,0.722305764411028,0.739097744360902,0.752130325814536
"10CC.3",0.515789473684211,0.5265664160401,0.499248120300752,0.162155388471178,0.138847117794486,0,0.542606516290727,0.530325814536341,0.495488721804511,0.435839598997494,0.426065162907268,0.425062656641604,0.49749373433584,0.494987468671679,0.489724310776942,0.34937343358396,0.371929824561403,0.344862155388471,0.508521303258145,0.496240601503759,0.498496240601504,0.7265664160401,0.736340852130326,0.392230576441103,0.465413533834586,0.391979949874687,0.730325814536341,0.747368421052632,0.760401002506266
"10CV.1",0.0576441102756892,0.0270676691729323,0.0586466165413534,0.647117794486216,0.629323308270677,0.542606516290727,0,0.0383458646616541,0.0644110275689223,0.437593984962406,0.444110275689223,0.446365914786967,0.123308270676692,0.138095238095238,0.147368421052632,0.576190476190476,0.582706766917293,0.61328320802005,0.0949874686716792,0.146616541353383,0.154887218045113,0.317794486215539,0.327568922305764,0.298496240601504,0.360902255639098,0.357393483709273,0.329824561403509,0.333082706766917,0.341102756892231
"10CV.2",0.0518796992481203,0.0380952380952381,0.0553884711779449,0.631328320802005,0.623308270676692,0.530325814536341,0.0383458646616541,0,0.043859649122807,0.412781954887218,0.419298245614035,0.421553884711779,0.116290726817043,0.129573934837093,0.140601503759399,0.548872180451128,0.556390977443609,0.585714285714286,0.0786967418546366,0.132330827067669,0.139097744360902,0.335087719298246,0.346115288220551,0.286967418546366,0.33483709273183,0.335588972431078,0.346115288220551,0.357142857142857,0.360651629072682
"10CV.3",0.049874686716792,0.0476190476190476,0.0395989974937343,0.595989974937343,0.588220551378446,0.495488721804511,0.0644110275689223,0.043859649122807,0,0.378446115288221,0.384962406015038,0.387218045112782,0.127318295739348,0.123308270676692,0.122305764411028,0.520050125313283,0.526065162907268,0.557644110275689,0.0952380952380952,0.131077694235589,0.131829573934837,0.346867167919799,0.358395989974937,0.304010025062657,0.345614035087719,0.33734335839599,0.345112781954887,0.371428571428571,0.376691729323308
"Theo2.1",0.402756892230576,0.419047619047619,0.388721804511278,0.469924812030075,0.461904761904762,0.435839598997494,0.437593984962406,0.412781954887218,0.378446115288221,0,0.0213032581453634,0.0218045112781955,0.361654135338346,0.334085213032581,0.335338345864662,0.345363408521303,0.341604010025063,0.370426065162907,0.370927318295739,0.346365914786967,0.318796992481203,0.530075187969925,0.549122807017544,0.389974937343358,0.421553884711779,0.358145363408521,0.548621553884712,0.577443609022556,0.582456140350877
