"","Theo1.1","Theo1.2","Theo1.3","IONMB7","IONMB8","IONMB9"
"Theo1.1",0,0.0192982456140351,0.0228070175438597,0.398245614035088,0.42531328320802,0.41328320802005
"Theo1.2",0.0192982456140351,0,0.0220551378446115,0.407769423558897,0.43483709273183,0.42280701754386
"Theo1.3",0.0228070175438597,0.0220551378446115,0,0.404260651629073,0.431328320802005,0.419298245614035
"IONMB7",0.398245614035088,0.407769423558897,0.404260651629073,0,0.0325814536340852,0.0298245614035088
"IONMB8",0.42531328320802,0.43483709273183,0.431328320802005,0.0325814536340852,0,0.0330827067669173
"IONMB9",0.41328320802005,0.42280701754386,0.419298245614035,0.0298245614035088,0.0330827067669173,0
