"","IONMB7","IONMB8","IONMB9","Theo1.1","Theo1.2","Theo1.3"
"IONMB7",0,0.00771253954954423,0.00736192204795423,0.207522574550834,0.217541668679878,0.215613385428342
"IONMB8",0.00771253954954423,0,0.00999140951787701,0.212953650260766,0.222987502081062,0.221069852535635
"IONMB9",0.00736192204795423,0.00999140951787701,0,0.211099118519229,0.22113328129715,0.219210985191641
"Theo1.1",0.207522574550834,0.212953650260766,0.211099118519229,0,0.0139122561605221,0.0162609705657214
"Theo1.2",0.217541668679878,0.222987502081062,0.22113328129715,0.0139122561605221,0,0.00661284315704161
"Theo1.3",0.215613385428342,0.221069852535635,0.219210985191641,0.0162609705657214,0.00661284315704161,0
