"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"676fa4bbf99f0b193108f9d8fb92f833",0,NA,NA,NA,NA,NA
"21e36df85d8b20646ea22462166bc109",23.0448130253426,-20.5852524741166,4.71240806825983,-4.24417615870458,NA,NA
"ddec97f9aeeb314bfd2ad6629a4a795d",1.06640294969582,5.97889284326233,4.70179090685876,1.14720761713856,0.251295824202019,0.620848506852048
"9eeb37ab369d9f263c08e59d48c20920",0,NA,NA,NA,NA,NA
"2e38add17618e0c5ad17b238b573190a",0,NA,NA,NA,NA,NA
"662e3874b52219a80d1899a96fe5aef1",0,NA,NA,NA,NA,NA
"bb5ded604cfb602f817f9bc447a906e6",0.810194795835716,6.31460327581371,4.71777877984302,1.21447847439833,0.224565064814442,0.58948329513791
"7283dbc736c90f0ef82ff7ea1eccbb64",14.5817065579646,-21.8872937194479,4.71198164635103,-4.52088586449043,NA,NA
"e046aa43f4bd5c3133b1ce07e9287d58",0,NA,NA,NA,NA,NA
"55e95d54e8a0bf05cdf8017532eef1f3",0,NA,NA,NA,NA,NA
"87b7fb0d426a69a3705f3b412cc3daef",0,NA,NA,NA,NA,NA
"f0b1c7b7f3387d41ab91bf656785b1c9",0,NA,NA,NA,NA,NA
"ba6b8677a024bd6fb6f0f28f24794664",0,NA,NA,NA,NA,NA
"9b2efbe20ea11e0a538c485639e8e159",0,NA,NA,NA,NA,NA
"0aa42746fa1c601ec08e6e4139374081",0,NA,NA,NA,NA,NA
"2a45403d5130fda2ff319a424b672644",0,NA,NA,NA,NA,NA
"5ef56aba0fba42bf9e8f04504b6d4a58",0,NA,NA,NA,NA,NA
"12cf121610364aef95f0640e2dcad212",0,NA,NA,NA,NA,NA
"345ee90c0d9bb3028b641ea58a2a5f73",0,NA,NA,NA,NA,NA
"8602dda9514781228aaa7bcf0ca97b0b",0,NA,NA,NA,NA,NA
"891673c7c84b04afdb5d7c33e45f1f86",0.868847976436381,-3.5036813604417,4.7175827189979,-0.618689492813076,0.536120933195691,0.859411841706643
"070a9a6a119a4798ecd3f6dd0b0229a0",16.481027839873,-1.00620793740767,1.93703748016879,-0.217468913740279,0.827842930535339,0.953287383351745
"aba55fff0b4acb780dd54e2b953ea50b",34.887832879991,-1.14000117466792,1.49965092276821,-0.370111914392865,0.71129910508757,0.905289770111453
"42a8e129b24d2020880f454fb40f659d",8.11290791753938,1.38890423012495,1.85818951570895,0.43264786643523,0.66527060948382,0.879284102152448
"4faf9cf6aabc4ca62ba2dd64df4ce639",0,NA,NA,NA,NA,NA
"7530628dcae7bd8e82b657d00a46cf31",175.034664934835,-1.12096199222761,0.902280936289569,-0.594049447293692,0.552479041097127,0.859411841706643
"5181cfd3246d68571628a84f6d7774d8",78.5799407811979,-2.01955816199733,1.40726898794373,-1.01941823032168,0.308004454968884,0.689353288681849
"f8fbeaf253aafeee895ae08c53b99df6",1014.60602616832,4.30195420503542,0.543039805157455,6.84478682596116,7.65898357457602e-12,4.59539014474561e-11
"c62032e3c3c86ea4d8ae5afb08699f17",4.42866552251017,2.90349611472158,4.38078720929281,0.529250452768443,0.59663172164191,0.879284102152448
"874d4ec679f1fc85f013adf6d37d89b3",180.202633737199,-1.59961002751519,0.649403383231338,-1.56243030602226,0.118186652304371,0.451258126980327
"ae0ae98c0a83e6a3ed3c31700a99ace6",66.0253140402455,27.068134227152,4.71209223469581,5.62025750078309,NA,NA
"ef53c96349a804410165ad1870cfc6b2",850.00747226771,3.09820707057595,0.590891152607351,4.25331223655138,2.10631558408592e-05,0.000110581568164511
"ea8d2b1ee059c267b00da203dc06c858",0,NA,NA,NA,NA,NA
"0770bdfd66b1dfd932653b2717759e1e",0,NA,NA,NA,NA,NA
"ffcdd935bd6eb52317fb4a3879d07a56",120.614904226925,-2.8175507482897,1.20704398363157,-1.84963288649307,0.0643664795394436,0.270339214065663
