"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"676fa4bbf99f0b193108f9d8fb92f833",0,NA,NA,NA,NA,NA
"21e36df85d8b20646ea22462166bc109",23.0448130253426,2.50609595374235,4.85677794710338,0.395557193255453,NA,NA
"ddec97f9aeeb314bfd2ad6629a4a795d",1.06640294969582,1.32140200982142,4.85677794710338,0.151631290769528,0.879477752297734,NA
"9eeb37ab369d9f263c08e59d48c20920",0,NA,NA,NA,NA,NA
"2e38add17618e0c5ad17b238b573190a",0,NA,NA,NA,NA,NA
"662e3874b52219a80d1899a96fe5aef1",0,NA,NA,NA,NA,NA
"bb5ded604cfb602f817f9bc447a906e6",0.810194795835716,1.32140200982142,4.85677794710338,0.151631290769528,0.879477752297734,NA
"7283dbc736c90f0ef82ff7ea1eccbb64",14.5817065579646,0.346317492874478,4.85677794710338,0,NA,NA
"e046aa43f4bd5c3133b1ce07e9287d58",0,NA,NA,NA,NA,NA
"55e95d54e8a0bf05cdf8017532eef1f3",0,NA,NA,NA,NA,NA
"87b7fb0d426a69a3705f3b412cc3daef",0,NA,NA,NA,NA,NA
"f0b1c7b7f3387d41ab91bf656785b1c9",0,NA,NA,NA,NA,NA
"ba6b8677a024bd6fb6f0f28f24794664",0,NA,NA,NA,NA,NA
"9b2efbe20ea11e0a538c485639e8e159",0,NA,NA,NA,NA,NA
"0aa42746fa1c601ec08e6e4139374081",0,NA,NA,NA,NA,NA
"2a45403d5130fda2ff319a424b672644",0,NA,NA,NA,NA,NA
"5ef56aba0fba42bf9e8f04504b6d4a58",0,NA,NA,NA,NA,NA
"12cf121610364aef95f0640e2dcad212",0,NA,NA,NA,NA,NA
"345ee90c0d9bb3028b641ea58a2a5f73",0,NA,NA,NA,NA,NA
"8602dda9514781228aaa7bcf0ca97b0b",0,NA,NA,NA,NA,NA
"891673c7c84b04afdb5d7c33e45f1f86",0.868847976436381,1.32140200982142,4.85677794710338,0.151631290769528,0.879477752297734,NA
"070a9a6a119a4798ecd3f6dd0b0229a0",16.481027839873,-6.33518204296899,2.23458885129098,-2.57327854246018,0.0100740094865601,0.0220368957518501
"aba55fff0b4acb780dd54e2b953ea50b",34.887832879991,-6.49991948976828,1.893494450126,-3.12383117291605,0.00178512850916449,0.00480611521698132
"42a8e129b24d2020880f454fb40f659d",8.11290791753938,-5.54184534232015,2.13816324029348,-2.31829017924685,0.0204335557923895,0.0420690854549196
"4faf9cf6aabc4ca62ba2dd64df4ce639",0,NA,NA,NA,NA,NA
"7530628dcae7bd8e82b657d00a46cf31",175.034664934835,-7.48914512742483,1.47554351124086,-4.6790776240123,2.88168338036193e-06,1.68098197187779e-05
"5181cfd3246d68571628a84f6d7774d8",78.5799407811979,-7.88834097288215,1.82123504194959,-4.01012406632749,6.06868518247627e-05,0.000265504976733337
"f8fbeaf253aafeee895ae08c53b99df6",1014.60602616832,0.607089320683719,0.541050769638913,0.040896014208297,0.967378794991968,0.995831112491732
"c62032e3c3c86ea4d8ae5afb08699f17",4.42866552251017,-5.18237883502816,4.26197302968118,-1.0787061068406,0.280718762460161,0.363894692077986
"874d4ec679f1fc85f013adf6d37d89b3",180.202633737199,-9.44324435871459,1.33835964866457,-6.61876041080015,3.62223367176467e-11,6.33890892558817e-10
"ae0ae98c0a83e6a3ed3c31700a99ace6",66.0253140402455,-1.70038631398735,4.85677794710338,-0.229663333472234,NA,NA
